 Note: The transition dipole moments reported below only correspond to spatial part, the spin part is not taken into account!

 Ground state electric dipole moment in X,Y,Z:    0.000275    0.000170   -0.000000 a.u.

 Transition electric dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     1    11    -0.0000034    -0.0000021     0.0000000     3.33030     0.00000
     1    12     0.0000000    -0.0000000     0.0000009     3.42840     0.00000
     1    13    -0.0000000     0.0000000    -0.2861679     3.56580     0.00715
     1    14     0.0000000     0.0000000    -0.0000034     3.73970     0.00000
     1    15    -0.0004246     0.0006906    -0.0000000     3.75810     0.00000
     1    16     0.0006494     0.0004000     0.0000000     3.76420     0.00000
     1    17    -0.0000000    -0.0000000    -0.0000001     3.80540     0.00000
     1    18     0.0000978    -0.0001591     0.0000000     3.83430     0.00000
     1    19     0.0000000     0.0000000    -0.0002338     4.03220     0.00000
     1    20    -0.1105317    -0.0683350     0.0000000     4.19280     0.00173
     1    21    -0.0151626     0.0257811    -0.0000000     4.22350     0.00009
     1    22    -1.0961103    -0.6771825    -0.0000000     4.25710     0.17314
     1    23    -0.0000000    -0.0000000     0.5689426     4.29870     0.03409
     1    24     0.0000000    -0.0000000    -0.0000152     4.34690     0.00000
     1    25     0.0469398     0.0289363     0.0000000     4.48220     0.00033
     1    26    -0.0000882    -0.0000545    -0.0000000     4.52360     0.00000
     1    27    -0.3395443     0.5496595     0.0000000     4.60390     0.04708
     1    28     0.0000000    -0.0000000     0.0000000     4.62880     0.00000
     1    29    -0.0000000    -0.0000000     0.1386300     4.79870     0.00226
     1    30     0.0000241    -0.0000390     0.0000000     4.89030     0.00000
     1    31    -0.0000000     0.0000000    -0.0004147     4.95760     0.00000
     1    32    -0.0000000     0.0000000     0.0000001     4.99310     0.00000
     1    33    -0.3066470     0.4964421    -0.0000000     5.03160     0.04197
     1    34     0.5748250    -0.9302779     0.0000000     5.08000     0.14883
     1    35     0.0000000    -0.0000000    -0.0000153     5.10940     0.00000
     1    36     0.0000000    -0.0000000    -0.0000001     5.20680     0.00000
     1    37    -1.0392533    -0.6420914    -0.0000000     5.26080     0.19234
     1    38     0.0000000    -0.0000000     0.0000151     5.26540     0.00000
     1    39     0.0002961     0.0001830    -0.0000000     5.33140     0.00000
     1    40    -0.0000000     0.0000000     0.0525933     5.33440     0.00036
     1    41    -0.0000000     0.0000000     0.1269507     5.46360     0.00216
     1    42    -0.2965248    -0.1831930     0.0000000     5.49200     0.01635
     1    43     0.0000000    -0.0000000     0.0000000     5.57710     0.00000
     1    44     0.0000000    -0.0000000     0.0275201     5.67770     0.00011
     1    45    -0.0000195     0.0000315    -0.0000000     5.68590     0.00000
     1    46     0.4519551     0.2792373     0.0000000     5.71360     0.03951
     1    47    -0.0048352     0.0053529    -0.0000000     5.71380     0.00001
     1    48     0.2563467     0.1583853    -0.0000000     5.76770     0.01283
     1    49     0.0001723     0.0001065    -0.0000000     5.80260     0.00000
     1    50     0.0000000    -0.0000000    -0.0000010     5.86100     0.00000
     1    51     0.0000000    -0.0000000     0.0000003     5.86240     0.00000
     1    52     0.0000000    -0.0000000     0.0000060     5.89130     0.00000
     1    53    -0.0003100    -0.0001920     0.0000000     5.92720     0.00000
     1    54    -0.0000000     0.0000000     0.0000575     5.93900     0.00000
     1    55     0.0000000    -0.0000000     0.0000170     6.01060     0.00000
     1    56    -0.0000000     0.0000000     0.0000016     6.05770     0.00000
     1    57     0.0000316    -0.0000500    -0.0000000     6.06550     0.00000
     1    58     0.0000000    -0.0000000    -0.0000806     6.14650     0.00000
     1    59     0.0002273     0.0001403     0.0000000     6.22990     0.00000
     1    60     0.0000000    -0.0000000    -0.0001024     6.23110     0.00000
     1    61    -0.0126458     0.0204693    -0.0000000     6.27260     0.00009
     1    62    -0.0000042     0.0000074    -0.0000000     6.35750     0.00000
     1    63    -0.0000000     0.0000000     0.0000073     6.44650     0.00000
     1    64     0.0000000    -0.0000000     0.0000085     6.49820     0.00000
     1    65    -0.4145208    -0.2561060    -0.0000000     6.51770     0.03791
     1    66    -0.0010811    -0.0006679    -0.0000000     6.55340     0.00000
     1    67     0.0000000     0.0000000    -0.0211231     6.60050     0.00007
     1    68    -0.2996143    -0.1851172    -0.0000000     6.60350     0.02007
     1    69     0.2393046     0.1478481     0.0000000     6.69480     0.01298
     1    70     0.0000000    -0.0000000     0.0000081     6.75140     0.00000
     1    71     0.0000000    -0.0000000     0.0000031     6.80210     0.00000
     1    72    -0.0000000     0.0000000     0.0128883     6.82740     0.00003
     1    73     0.0000195    -0.0000316     0.0000000     6.85530     0.00000
     1    74    -0.0000667     0.0001079     0.0000000     6.89090     0.00000
     1    75     0.0000000    -0.0000000    -0.0000020     6.92820     0.00000
     1    76     0.0000000    -0.0000000    -0.0000016     6.93400     0.00000
     1    77    -0.0000000     0.0000000     0.0000000     6.93510     0.00000
     1    78    -0.0003481    -0.0001788     0.0000000     7.04250     0.00000
     1    79     0.2911220    -0.4711824     0.0000000     7.04430     0.05294
     1    80     0.0002078     0.0001291    -0.0000000     7.10840     0.00000
     1    81    -0.0001017    -0.0000632     0.0000000     7.18970     0.00000
     1    82    -0.0000000     0.0000000    -0.0000069     7.25650     0.00000
     1    83    -0.0235511    -0.0145741     0.0000000     7.30830     0.00014
     1    84     0.0854685    -0.1383299     0.0000000     7.32630     0.00475
