i j mu_x mu_y mu_z deltaE
1 92 0.00000000 0.00000000 -0.00115860 7.51040000
1 93 0.00000000 -0.00000000 0.00005840 7.51070000
1 94 0.00001560 -0.00002530 -0.00000000 7.57980000
1 95 0.00017630 0.00011070 -0.00000000 7.61700000
1 96 -0.00000000 -0.00000000 -0.00000000 7.63000000
1 97 -0.00000000 0.00000000 -0.01507930 7.76510000
1 98 -0.00000790 0.00001210 0.00000000 7.79720000
1 99 0.10707520 0.06615460 -0.00000000 7.80050000
1 100 -0.01428040 0.02312500 -0.00000000 7.82030000
1 101 -0.02481720 -0.01531160 -0.00000000 7.82500000
1 102 -0.00000000 -0.00000000 -0.00147500 7.82770000
1 103 0.00000000 0.00000000 0.00329800 7.84330000
1 104 0.00000000 -0.00000000 -0.00002980 7.88690000
1 105 -0.00555450 -0.00342910 -0.00000000 7.92780000
1 106 -0.00005460 0.00008840 -0.00000000 8.03000000
1 107 -0.00002810 0.00004530 -0.00000000 8.11150000
1 108 0.00000000 -0.00000000 0.00004000 8.13890000
1 109 0.00000000 -0.00000000 0.02394680 8.13920000
1 110 0.00245470 -0.00395800 -0.00000000 8.15210000
1 111 -0.01701920 0.02754820 -0.00000000 8.16200000
1 112 -0.01796800 0.02910100 -0.00000000 8.20970000
1 113 0.00000000 0.00000000 -0.00000000 8.24490000
1 114 0.00000000 -0.00000000 -0.00000070 8.25750000
1 115 -0.00000750 0.00001220 0.00000000 8.29870000
1 116 -0.00000000 0.00000000 0.00000000 8.36510000
1 117 0.00000320 0.00000200 -0.00000000 8.37340000
1 118 -0.00218600 -0.00135060 -0.00000000 8.39000000
1 119 0.00001290 0.00000810 0.00000000 8.39560000
1 120 0.00000000 -0.00000000 0.00000020 8.40220000
1 121 -0.00001850 -0.00001160 0.00000000 8.44850000
1 122 0.00000000 -0.00000000 -0.00003350 8.54330000
1 123 0.03697990 0.02285300 0.00000000 8.56360000
1 124 0.00000000 -0.00000000 0.00001760 8.60320000
1 125 -0.00000000 -0.00000000 0.01642730 8.60330000
1 126 -0.00000000 -0.00000000 0.04580030 8.71310000
1 127 -0.00000000 0.00000000 -0.00250780 8.71440000
1 128 0.00000000 -0.00000000 0.00000010 8.79630000
1 129 -0.00802730 0.01300880 0.00000000 8.82900000
1 130 -0.00331240 0.00536280 0.00000000 8.84000000
1 131 0.00000000 0.00000000 0.00009590 8.88930000
1 132 0.16151350 0.09977420 -0.00000000 8.91120000
1 133 0.00000000 -0.00000000 0.12103600 8.91670000
1 134 -0.00000000 -0.00000000 0.00056290 9.08100000
1 135 -0.00000000 0.00000000 -0.00000260 9.09810000
1 136 -0.00000000 0.00000000 0.00000030 9.11400000
1 137 0.00000210 0.00000140 -0.00000000 9.15970000
1 138 -0.00266410 0.00432370 -0.00000000 9.18790000
1 139 0.00000000 -0.00000000 -0.00095380 9.19020000
1 140 -0.01194100 0.01939080 -0.00000000 9.38370000
1 141 0.00000000 0.00000000 -0.00006680 9.38750000
1 142 0.00000000 -0.00000000 0.00000080 9.40910000
1 143 0.00002170 -0.00003500 -0.00000000 9.41140000
1 144 -0.00000000 0.00000000 0.00000270 9.42430000
1 145 0.00000000 0.00000000 -0.00100200 9.43990000
1 146 -0.12697890 -0.07845150 0.00000000 9.44150000
1 147 -0.00002460 -0.00001460 -0.00000000 9.49760000
1 148 -0.00000000 0.00000000 -0.00000030 9.50650000
1 149 0.00463650 -0.00749350 -0.00000000 9.55010000
1 150 0.00000000 -0.00000000 0.00000030 9.56390000
1 151 -0.00000000 -0.00000000 0.00000060 9.57370000
1 152 -0.00000000 0.00000000 -0.05483910 9.60580000
1 153 -0.00000420 -0.00000260 0.00000000 9.64820000
1 154 -0.00000000 0.00000000 -0.00003960 9.68070000
1 155 -0.01152070 -0.00711160 -0.00000000 9.68110000
1 156 0.00000000 -0.00000000 -0.00000070 9.71870000
1 157 -0.00000000 0.00000000 -0.05479950 9.76260000
1 158 -0.00000000 0.00000000 0.00006850 9.76840000
1 159 0.00570850 0.00352270 -0.00000000 9.78720000
1 160 0.00000000 -0.00000000 0.00244330 9.82370000
1 161 -0.00000000 0.00000000 -0.16931850 9.84160000
1 162 0.00000000 -0.00000000 -0.00002870 9.86690000
1 163 -0.00000000 0.00000000 -0.44131380 9.88770000
1 164 0.00802900 -0.01300670 -0.00000000 9.91580000
1 165 -0.00000080 0.00000140 0.00000000 9.94500000
1 166 -0.00000000 0.00000000 -0.24420820 9.95520000
1 167 -0.00000000 0.00000000 0.00000000 9.95640000
1 168 0.00000950 0.00000580 -0.00000000 9.96440000
1 169 -0.00000000 0.00000000 0.00075960 10.00940000
1 170 -0.00000000 0.00000000 0.00000000 10.03080000
1 171 -0.00000000 -0.00000000 -0.00000810 10.04350000
1 172 0.00000000 -0.00000000 -0.00000080 10.04370000
1 173 -0.00000000 0.00000000 0.00043640 10.05700000
1 174 0.00578130 -0.00934710 -0.00000000 10.09630000
1 175 0.00000000 0.00000000 0.02289110 10.18050000
1 176 0.00000000 -0.00000000 0.00000000 10.20380000
1 177 -0.00270610 -0.00167060 -0.00000000 10.21940000
1 178 -0.00000000 -0.00000000 -0.00019440 10.29280000
1 179 0.00024250 -0.00038870 -0.00000000 10.34980000
1 180 0.00002020 0.00001250 0.00000000 10.38880000
1 181 -0.00000000 0.00000000 -0.00000340 10.39640000
1 182 0.00001750 -0.00002810 0.00000000 10.40680000
1 183 -0.00000000 -0.00000000 -0.02983860 10.44710000
1 184 -0.00000000 0.00000000 0.00003350 10.48930000
1 185 0.00000970 -0.00000480 -0.00000000 10.49910000
1 186 -0.00000000 0.00000000 0.00008340 10.54890000
1 187 -0.00013550 -0.00008380 0.00000000 10.55710000
1 188 0.01114320 0.00690720 -0.00000000 10.57430000
1 189 -0.00000000 0.00000000 -0.00000440 10.57710000
1 190 0.00486840 -0.00787400 -0.00000000 10.63040000
1 191 0.00000000 0.00000000 -0.00005010 10.64560000
1 192 -0.00001480 0.00002390 0.00000000 10.68410000
1 193 -0.00000000 0.00000000 -0.00162540 10.71250000
1 194 0.00000000 -0.00000000 0.00001170 10.72920000
1 195 0.00001900 -0.00003070 0.00000000 10.73150000
1 196 -0.00000000 -0.00000000 -0.00000480 10.73940000
1 197 -0.00000000 0.00000000 0.00000000 10.74880000
1 198 0.00003960 0.00002470 0.00000000 10.75350000
1 199 -0.00005520 0.00008860 -0.00000000 10.76420000
1 200 0.00000000 -0.00000000 -0.00000940 10.80310000
2 2 0.00252210 0.00155310 0.00000000 0.00000000
2 3 0.00000000 0.00000000 -0.00000460 0.84400000
2 4 0.09023760 -0.14604640 0.00000000 1.03530000
2 5 0.00000000 -0.00000000 0.00003580 1.61700000
2 6 -2.19461820 -1.35593750 -0.00000000 1.76060000
2 7 -0.00000000 -0.00000000 -0.00000020 1.89120000
2 8 -0.00000000 0.00000000 0.00010680 2.01580000
2 9 -0.02463450 -0.01522070 -0.00000000 2.31420000
2 10 0.00000000 0.00000000 0.00000070 2.41820000
2 11 -0.00000790 0.00001270 -0.00000000 2.70780000
2 12 0.00000000 0.00000000 0.33630580 2.80590000
2 13 -0.00000000 -0.00000000 -0.00001680 2.94330000
2 14 -0.00000000 0.00000000 -0.00000020 3.11720000
2 15 0.00000120 0.00000050 0.00000000 3.13560000
2 16 0.00051340 -0.00083230 0.00000000 3.14170000
2 17 0.00000000 0.00000000 -0.00016400 3.18290000
2 18 0.00001230 0.00000770 -0.00000000 3.21180000
