i j mx my mz deltaE
1 188 0.00000000 0.00000000 -0.00001090 10.57430000
1 189 -0.00004790 -0.00004670 0.00000000 10.57700000
1 190 0.00000000 0.00000000 -0.00103410 10.63040000
1 191 0.00071100 0.00116140 0.00000000 10.64560000
1 192 0.00000000 0.00000000 0.20759660 10.68410000
1 193 -0.00008860 -0.00014270 0.00000000 10.71250000
1 194 -0.00013670 0.00038270 0.00000000 10.72930000
1 195 0.00000000 0.00000000 -0.29376330 10.73150000
1 196 0.20308080 0.32868740 0.00000000 10.73940000
1 197 -0.00094540 0.00056600 0.00000000 10.74880000
1 198 0.00000000 0.00000000 -0.00002850 10.75350000
1 199 0.00000000 0.00000000 -0.41765910 10.76420000
1 200 -0.10113560 -0.16368200 0.00000000 10.80310000
2 2 0.00000000 0.00000000 0.00000000 0.00000000
2 3 0.05208780 0.08430590 0.00000000 0.84390000
2 4 0.00000000 0.00000000 -0.00001620 1.03530000
2 5 -0.00009740 0.00006310 0.00000000 1.61710000
2 6 0.00000000 0.00000000 0.00001120 1.76060000
2 7 -0.08386320 0.05180470 0.00000000 1.89120000
2 8 0.10893120 0.17629840 0.00000000 2.01580000
2 9 0.00000000 0.00000000 0.00000010 2.31420000
2 10 0.13440230 -0.08303350 0.00000000 2.41820000
2 11 0.00000000 0.00000000 0.01075940 2.70780000
2 12 0.00016210 0.00026530 0.00000000 2.80600000
2 13 0.00006910 -0.00004650 0.00000000 2.94340000
2 14 -0.02898370 0.01787690 0.00000000 3.11710000
2 15 0.00000000 0.00000000 -0.00004980 3.13550000
2 16 0.00000000 0.00000000 0.15734550 3.14170000
2 17 0.15469190 0.25036830 0.00000000 3.18290000
2 18 0.00000000 0.00000000 -0.00002380 3.21190000
2 19 -0.00793450 0.00489970 0.00000000 3.40970000
2 20 0.00000000 0.00000000 -0.00017410 3.57040000
2 21 0.00000000 0.00000000 0.00000050 3.60100000
2 22 0.00000000 0.00000000 0.00004690 3.63460000
2 23 -0.00033380 0.00021580 0.00000000 3.67620000
2 24 -0.00002520 -0.00004130 0.00000000 3.72440000
2 25 0.00000000 0.00000000 -0.00047690 3.85970000
2 26 0.00000000 0.00000000 0.99325250 3.90110000
2 27 0.00000000 0.00000000 0.00000420 3.98140000
2 28 -0.07549620 -0.12228190 0.00000000 4.00630000
2 29 -0.00029610 0.00018490 0.00000000 4.17620000
2 30 0.00000000 0.00000000 -0.00000050 4.26780000
2 31 -0.35378120 0.21857930 0.00000000 4.33520000
2 32 -0.06269290 -0.10157600 0.00000000 4.37060000
2 33 0.00000000 0.00000000 -0.00000000 4.40910000
2 34 0.00000000 0.00000000 -0.00000010 4.45750000
2 35 -0.00000070 -0.00000190 0.00000000 4.48690000
2 36 0.03319150 0.05369440 0.00000000 4.58430000
2 37 0.00000000 0.00000000 0.00019980 4.63830000
2 38 0.03112460 -0.01924920 0.00000000 4.64290000
2 39 0.00000000 0.00000000 -0.01957480 4.70890000
2 40 0.00005090 -0.00002940 0.00000000 4.71190000
2 41 -0.00000640 0.00000720 0.00000000 4.84110000
2 42 0.00000000 0.00000000 -0.00026080 4.86950000
2 43 0.12889510 0.20866290 0.00000000 4.95470000
2 44 0.00016570 -0.00010650 0.00000000 5.05520000
2 45 0.00000000 0.00000000 0.00000010 5.06350000
2 46 0.00000000 0.00000000 0.00091070 5.09110000
2 47 0.00000000 0.00000000 -0.00001530 5.09120000
2 48 0.00000000 0.00000000 -0.00063490 5.14520000
2 49 0.00000000 0.00000000 -0.01403410 5.18020000
2 50 0.11847850 0.19186320 0.00000000 5.23850000
2 51 -0.40614250 -0.65762920 0.00000000 5.23990000
2 52 -0.00520800 -0.00843910 0.00000000 5.26880000
2 53 0.00000000 0.00000000 0.06242160 5.30470000
2 54 0.22321340 -0.13781870 0.00000000 5.31650000
2 55 -0.10364280 0.06382420 0.00000000 5.38810000
2 56 -0.00022900 -0.00037210 0.00000000 5.43520000
2 57 0.00000000 0.00000000 -0.00001270 5.44310000
2 58 -0.25577690 0.15789730 0.00000000 5.52400000
2 59 0.00000000 0.00000000 -0.01696830 5.60740000
2 60 -0.42906490 0.26496970 0.00000000 5.60860000
2 61 0.00000000 0.00000000 -0.00000000 5.65010000
2 62 0.00000000 0.00000000 -0.00000560 5.73500000
2 63 -0.00875200 0.00540020 0.00000000 5.82400000
2 64 0.00019980 0.00032970 0.00000000 5.87570000
2 65 0.00000000 0.00000000 0.00014030 5.89510000
2 66 0.00000000 0.00000000 -0.04576300 5.93090000
2 67 -0.00000820 0.00000440 0.00000000 5.97800000
2 68 0.00000000 0.00000000 -0.00032100 5.98090000
2 69 0.00000000 0.00000000 -0.00004810 6.07230000
2 70 0.00008360 0.00013820 0.00000000 6.12890000
2 71 -0.00002210 -0.00003480 0.00000000 6.17960000
2 72 -0.00011890 0.00007260 0.00000000 6.20490000
2 73 0.00000000 0.00000000 0.00000280 6.23280000
2 74 0.00000000 0.00000000 -0.00001200 6.26840000
2 75 -0.00008630 -0.00014070 0.00000000 6.30570000
2 76 -0.00584910 0.00364330 0.00000000 6.31150000
2 77 -0.00253250 -0.00406830 0.00000000 6.31250000
2 78 0.00000000 0.00000000 0.02085850 6.42000000
2 79 0.00000000 0.00000000 0.00000470 6.42170000
2 80 0.00000000 0.00000000 0.01320670 6.48590000
2 81 0.00000000 0.00000000 -0.01462590 6.56720000
2 82 -0.00001430 -0.00002350 0.00000000 6.63400000
2 83 0.00000000 0.00000000 -0.00000610 6.68580000
2 84 0.00000000 0.00000000 -0.00000250 6.70380000
2 85 -0.00004410 0.00002630 0.00000000 6.70430000
