 Note: The transition dipole moments reported below only correspond to spatial part, the spin part is not taken into account!

 Ground state electric dipole moment in X,Y,Z:    0.000274   -0.000169    0.000000 a.u.

 Transition electric dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     0   167     0.2168794     0.3509205     0.0000000    13.88450     0.05789
     0   168     0.0000000     0.0000000    -0.1673841    13.89250     0.00954
     0   169     0.6382211    -0.3945782     0.0000000    13.93750     0.19225
     0   170     0.2681615     0.4328782     0.0000000    13.95890     0.08868
     0   171    -0.0405148    -0.0656989     0.0000000    13.97160     0.00204
     0   172    -0.2553824    -0.4141184     0.0000000    13.97180     0.08103
     0   173     0.3897670    -0.2407208     0.0000000    13.98510     0.07191
     0   174     0.0000000     0.0000000    -0.0000036    14.02430     0.00000
     0   175    -0.0000115     0.0000361     0.0000000    14.10860     0.00000
     0   176     0.2406118     0.3894258     0.0000000    14.13190     0.07255
     0   177     0.0000000     0.0000000    -0.0004467    14.14740     0.00000
     0   178     0.0005155    -0.0003203     0.0000000    14.22090     0.00000
     0   179     0.0000000     0.0000000     0.0000008    14.27790     0.00000
     0   180     0.0000000     0.0000000    -0.1288052    14.31690     0.00582
     0   181     0.0000293     0.0000618     0.0000000    14.32450     0.00000
     0   182     0.0000000     0.0000000     0.0000141    14.33490     0.00000
     0   183    -0.0000347     0.0000192     0.0000000    14.37520     0.00000
     0   184     0.0252985    -0.0156443     0.0000000    14.41740     0.00031
     0   185     0.0000000     0.0000000     0.0000272    14.42720     0.00000
     0   186    -0.2294588     0.1417230     0.0000000    14.47700     0.02580
     0   187     0.0000000     0.0000000     0.2479994    14.48530     0.02183
     0   188     0.0000000     0.0000000     0.0043974    14.50240     0.00001
     0   189    -0.0005897    -0.0006459     0.0000000    14.50510     0.00000
     0   190     0.0000000     0.0000000    -0.0000007    14.55850     0.00000
     0   191    -0.6023587     0.3721576     0.0000000    14.57370     0.17900
     0   192     0.0000000     0.0000000    -0.0000111    14.61220     0.00000
     0   193    -0.0006061     0.0003758     0.0000000    14.64060     0.00000
     0   194     0.0005369     0.0005062     0.0000000    14.65740     0.00000
     0   195     0.0000000     0.0000000     0.0000156    14.65960     0.00000
     0   196     0.1868618    -0.1155155     0.0000000    14.66750     0.01734
     0   197    -0.3843111    -0.6220299     0.0000000    14.67690     0.19224
     0   198     0.0000000     0.0000000    -0.3135466    14.68160     0.03536
     0   199     0.0000000     0.0000000     0.0000136    14.69230     0.00000
     0   200     0.0226059    -0.0140673     0.0000000    14.73120     0.00026
 
 Note: In below output the case of i=j corresponds to contribution of electron to dipole moment of excited state i (contribution of nuclear charges is not taken into account!)
 Transition electric dipole moment between excited states (a.u.):
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     1     1     0.0027124    -0.0016642     0.0000000     0.00000     0.00000
     1     2     0.0000322     0.0000377     0.0000000     0.62250     0.00000
     1     3     0.0000000     0.0000000    -0.0000013     1.46640     0.00000
     1     4    -2.0057988     1.2392781     0.0000000     1.65780     0.22578
     1     5     0.0000000     0.0000000     0.4113155     2.23960     0.00928
     1     6     0.0313177     0.0506860     0.0000000     2.38310     0.00021
     1     7     0.0000000     0.0000000    -0.0000046     2.51370     0.00000
     1     8     0.0000000     0.0000000    -0.0000049     2.63830     0.00000
     1     9     0.0012665     0.0020459     0.0000000     2.93670     0.00000
     1    10     0.0000000     0.0000000     0.0006039     3.04070     0.00000
     1    11    -0.0000033     0.0000020     0.0000000     3.33030     0.00000
     1    12     0.0000000     0.0000000    -0.0000127     3.42850     0.00000
     1    13     0.0000000     0.0000000    -0.2861600     3.56590     0.00715
     1    14     0.0000000     0.0000000    -0.0000032     3.73960     0.00000
     1    15     0.0004389     0.0006802     0.0000000     3.75800     0.00000
